name, hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type 
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Land Animal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Land Animal
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Land Animal
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Land Animal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Land Animal
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Land Animal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Land Animal
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Land Animal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Land Animal
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Land Animal
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Land Animal
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,Land Animal
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Land Animal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Land Animal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,Land Animal
